表章項目_code,表章項目,人口及び人口増減_code,人口及び人口増減,男女別_code,男女別,人口_code,人口,全国・都道府県_code,全国・都道府県,時間軸（年間）_code,時間軸（年間）,unit,value
008,人口,204,人口,000,男女計,002,日本人人口,40000,福岡県,2023001001,2023年10月1日現在,人,5010882
008,人口,204,人口,000,男女計,002,日本人人口,40000,福岡県,2024001001,2024年10月1日現在,人,4989354
008,人口,204,人口,000,男女計,002,日本人人口,41000,佐賀県,2023001001,2023年10月1日現在,人,785585
008,人口,204,人口,000,男女計,002,日本人人口,41000,佐賀県,2024001001,2024年10月1日現在,人,777374
008,人口,204,人口,000,男女計,002,日本人人口,42000,長崎県,2023001001,2023年10月1日現在,人,1254476
008,人口,204,人口,000,男女計,002,日本人人口,42000,長崎県,2024001001,2024年10月1日現在,人,1236888
008,人口,204,人口,000,男女計,002,日本人人口,43000,熊本県,2023001001,2023年10月1日現在,人,1685071
008,人口,204,人口,000,男女計,002,日本人人口,43000,熊本県,2024001001,2024年10月1日現在,人,1669377
008,人口,204,人口,000,男女計,002,日本人人口,44000,大分県,2023001001,2023年10月1日現在,人,1078990
008,人口,204,人口,000,男女計,002,日本人人口,44000,大分県,2024001001,2024年10月1日現在,人,1065778
008,人口,204,人口,000,男女計,002,日本人人口,45000,宮崎県,2023001001,2023年10月1日現在,人,1032439
008,人口,204,人口,000,男女計,002,日本人人口,45000,宮崎県,2024001001,2024年10月1日現在,人,1021021
008,人口,204,人口,000,男女計,002,日本人人口,46000,鹿児島県,2023001001,2023年10月1日現在,人,1532815
008,人口,204,人口,000,男女計,002,日本人人口,46000,鹿児島県,2024001001,2024年10月1日現在,人,1512967
008,人口,204,人口,000,男女計,002,日本人人口,47000,沖縄県,2023001001,2023年10月1日現在,人,1442827
008,人口,204,人口,000,男女計,002,日本人人口,47000,沖縄県,2024001001,2024年10月1日現在,人,1437095
008,人口,204,人口,001,男,001,総人口,00000,全国,2023001001,2023年10月1日現在,人,60492427
008,人口,204,人口,001,男,001,総人口,00000,全国,2024001001,2024年10月1日現在,人,60232673
008,人口,204,人口,001,男,001,総人口,01000,北海道,2023001001,2023年10月1日現在,人,2404674
008,人口,204,人口,001,男,001,総人口,01000,北海道,2024001001,2024年10月1日現在,人,2381680
008,人口,204,人口,001,男,001,総人口,02000,青森県,2023001001,2023年10月1日現在,人,558709
008,人口,204,人口,001,男,001,総人口,02000,青森県,2024001001,2024年10月1日現在,人,549288
008,人口,204,人口,001,男,001,総人口,03000,岩手県,2023001001,2023年10月1日現在,人,561503
008,人口,204,人口,001,男,001,総人口,03000,岩手県,2024001001,2024年10月1日現在,人,553066
008,人口,204,人口,001,男,001,総人口,04000,宮城県,2023001001,2023年10月1日現在,人,1104606
008,人口,204,人口,001,男,001,総人口,04000,宮城県,2024001001,2024年10月1日現在,人,1096316
008,人口,204,人口,001,男,001,総人口,05000,秋田県,2023001001,2023年10月1日現在,人,431744
008,人口,204,人口,001,男,001,総人口,05000,秋田県,2024001001,2024年10月1日現在,人,424023
008,人口,204,人口,001,男,001,総人口,06000,山形県,2023001001,2023年10月1日現在,人,497883
