単位_db_code,単位_db,表頭_集計項目_db_code,表頭_集計項目_db,表側_集計項目_db_code,表側_集計項目_db,都道府県_code,都道府県,時間軸_db_code,時間軸_db,unit,value
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2024001212,2024年12月,,4658
0101300,百万円,01040110,販売額等,01030100,販売額等,07000,福島県,2025000101,2025年1月,,4708
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2022000000,2022年,,85251
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2023000000,2023年,,80372
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000000,2024年,,92381
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2021100000,2021年度,,88005
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2022100000,2022年度,,83711
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2023100000,2023年度,,83124
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2023001012,2023年10～12月,,20262
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000103,2024年1～3月,,23844
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000406,2024年4～6月,,21793
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000709,2024年7～9月,,23974
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024001012,2024年10～12月,,22770
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2023001111,2023年11月,,5891
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2023001212,2023年12月,,8646
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000101,2024年1月,,7796
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000202,2024年2月,,6746
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000303,2024年3月,,9302
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000404,2024年4月,,6779
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000505,2024年5月,,7052
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000606,2024年6月,,7962
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000707,2024年7月,,9301
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000808,2024年8月,,7385
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024000909,2024年9月,,7288
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024001010,2024年10月,,6221
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024001111,2024年11月,,7173
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2024001212,2024年12月,,9376
0101300,百万円,01040110,販売額等,01030100,販売額等,08000,茨城県,2025000101,2025年1月,,8205
