表章項目_code,表章項目,出生児数・死亡者数_code,出生児数・死亡者数,男女別_code,男女別,日本人・外国人_code,日本人・外国人,全国・都道府県_code,全国・都道府県,時間軸（年間）_code,時間軸（年間）,unit,value
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,45000,宮崎県,2023001011,2023年10月～2024年9月,人,17
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,46000,鹿児島県,2023001011,2023年10月～2024年9月,人,25
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,47000,沖縄県,2023001011,2023年10月～2024年9月,人,114
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,00000,全国,2023001011,2023年10月～2024年9月,人,339503
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,01000,北海道,2023001011,2023年10月～2024年9月,人,11336
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,02000,青森県,2023001011,2023年10月～2024年9月,人,2592
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,03000,岩手県,2023001011,2023年10月～2024年9月,人,2475
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,04000,宮城県,2023001011,2023年10月～2024年9月,人,5539
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,05000,秋田県,2023001011,2023年10月～2024年9月,人,1647
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,06000,山形県,2023001011,2023年10月～2024年9月,人,2300
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,07000,福島県,2023001011,2023年10月～2024年9月,人,4153
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,08000,茨城県,2023001011,2023年10月～2024年9月,人,6937
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,09000,栃木県,2023001011,2023年10月～2024年9月,人,4566
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,10000,群馬県,2023001011,2023年10月～2024年9月,人,4696
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,11000,埼玉県,2023001011,2023年10月～2024年9月,人,19770
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,12000,千葉県,2023001011,2023年10月～2024年9月,人,16661
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,13000,東京都,2023001011,2023年10月～2024年9月,人,41460
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,14000,神奈川県,2023001011,2023年10月～2024年9月,人,25389
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,15000,新潟県,2023001011,2023年10月～2024年9月,人,4960
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,16000,富山県,2023001011,2023年10月～2024年9月,人,2523
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,17000,石川県,2023001011,2023年10月～2024年9月,人,3074
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,18000,福井県,2023001011,2023年10月～2024年9月,人,2174
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,19000,山梨県,2023001011,2023年10月～2024年9月,人,2143
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,20000,長野県,2023001011,2023年10月～2024年9月,人,5167
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,21000,岐阜県,2023001011,2023年10月～2024年9月,人,4843
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,22000,静岡県,2023001011,2023年10月～2024年9月,人,8783
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,23000,愛知県,2023001011,2023年10月～2024年9月,人,22541
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,24000,三重県,2023001011,2023年10月～2024年9月,人,4354
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,25000,滋賀県,2023001011,2023年10月～2024年9月,人,4313
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,26000,京都府,2023001011,2023年10月～2024年9月,人,6376
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,27000,大阪府,2023001011,2023年10月～2024年9月,人,26313
012,出生児数・死亡者数,001,出生児数,002,女,001,日本人,28000,兵庫県,2023001011,2023年10月～2024年9月,人,15153
