表章項目_code,表章項目,調査項目_code,調査項目,全体_code,全体,国籍_code,国籍,時間軸（四半期）_code,時間軸（四半期）,unit,value
140,消費単価,100,全体,00100,全体,00220,ドイツ,2016000103,2016年1～3月期,円／人,121200
140,消費単価,100,全体,00100,全体,00220,ドイツ,2015001012,2015年10～12月期,円／人,150059
140,消費単価,100,全体,00100,全体,00230,フランス,2017000709,2017年7～9月期,円／人,215324
140,消費単価,100,全体,00100,全体,00230,フランス,2017000406,2017年4～6月期,円／人,189811
140,消費単価,100,全体,00100,全体,00230,フランス,2017000103,2017年1～3月期,円／人,168722
140,消費単価,100,全体,00100,全体,00230,フランス,2016001012,2016年10～12月期,円／人,161081
140,消費単価,100,全体,00100,全体,00230,フランス,2016000709,2016年7～9月期,円／人,159570
140,消費単価,100,全体,00100,全体,00230,フランス,2016000406,2016年4～6月期,円／人,171912
140,消費単価,100,全体,00100,全体,00230,フランス,2016000103,2016年1～3月期,円／人,168511
140,消費単価,100,全体,00100,全体,00230,フランス,2015001012,2015年10～12月期,円／人,159681
140,消費単価,100,全体,00100,全体,00240,イタリア,2017000709,2017年7～9月期,円／人,136751
140,消費単価,100,全体,00100,全体,00240,イタリア,2017000406,2017年4～6月期,円／人,182391
140,消費単価,100,全体,00100,全体,00240,イタリア,2017000103,2017年1～3月期,円／人,135335
140,消費単価,100,全体,00100,全体,00240,イタリア,2016001012,2016年10～12月期,円／人,139076
140,消費単価,100,全体,00100,全体,00240,イタリア,2016000709,2016年7～9月期,円／人,143149
140,消費単価,100,全体,00100,全体,00240,イタリア,2016000406,2016年4～6月期,円／人,144227
140,消費単価,100,全体,00100,全体,00240,イタリア,2016000103,2016年1～3月期,円／人,168628
140,消費単価,100,全体,00100,全体,00240,イタリア,2015001012,2015年10～12月期,円／人,154341
140,消費単価,100,全体,00100,全体,00250,スペイン,2017000709,2017年7～9月期,円／人,209058
140,消費単価,100,全体,00100,全体,00250,スペイン,2017000406,2017年4～6月期,円／人,177173
140,消費単価,100,全体,00100,全体,00250,スペイン,2017000103,2017年1～3月期,円／人,239390
140,消費単価,100,全体,00100,全体,00250,スペイン,2016001012,2016年10～12月期,円／人,216800
